Contractor_ID,Contractor_Name,Company_Registration_No,Contact_Person,Phone,Email,County,Category,Years_of_Experience,Total_Projects_Awarded,Active_Projects,Blacklisted_Status,Total_Contract_Value_KES,Performance_Rating,Last_Evaluation_Date
CTR8274,BuildTech Ltd 1,REG1185,Peter Kariuki,2.54723E+11,contractor0@buildtech.com,Nairobi,B,18,17,0,No,369613397,4.09,15/04/2026 00:00
CTR4538,BuildTech Ltd 2,REG7286,Ann Wanjiku,2.54739E+11,contractor1@buildtech.com,Kisumu,A,12,6,2,No,593075303,1.03,14/09/2022 00:00
CTR9505,BuildTech Ltd 3,REG7519,Ann Wanjiku,2.54794E+11,contractor2@buildtech.com,Kisumu,A,14,5,0,No,491448241,1.86,19/09/2025 00:00
CTR3575,BuildTech Ltd 4,REG6926,James Ouma,2.54713E+11,contractor3@buildtech.com,Nairobi,B,23,12,0,Yes,405750407,4.37,13/10/2022 00:00
CTR4428,BuildTech Ltd 5,REG3969,James Ouma,2.54793E+11,contractor4@buildtech.com,Mombasa,B,15,2,1,Yes,774483284,4.39,16/12/2024 00:00
CTR3556,BuildTech Ltd 6,REG2430,Ann Wanjiku,2.54793E+11,contractor5@buildtech.com,Kisumu,A,23,6,1,Yes,27795786,4.23,28/04/2022 00:00
CTR4008,BuildTech Ltd 7,REG8169,Peter Kariuki,2.54774E+11,contractor6@buildtech.com,Kisumu,A,26,2,2,Yes,270322438,3.56,13/08/2023 00:00
CTR1691,BuildTech Ltd 8,REG4332,Peter Kariuki,2.54797E+11,contractor7@buildtech.com,Nairobi,C,27,5,5,No,392505290,4.48,23/04/2023 00:00
CTR9790,BuildTech Ltd 9,REG2046,Ann Wanjiku,2.54798E+11,contractor8@buildtech.com,Mombasa,B,9,10,0,Yes,329203890,4.09,02/04/2022 00:00
CTR7658,BuildTech Ltd 10,REG5597,James Ouma,2.5478E+11,contractor9@buildtech.com,Mombasa,B,18,7,1,No,665977245,4.24,16/03/2025 00:00
CTR4499,BuildTech Ltd 11,REG3771,Peter Kariuki,2.5474E+11,contractor10@buildtech.com,Nairobi,A,5,6,2,No,551181937,1.54,13/11/2023 00:00
CTR3091,BuildTech Ltd 12,REG2879,Ann Wanjiku,2.54795E+11,contractor11@buildtech.com,Mombasa,A,19,18,1,Yes,746146666,4.82,11/10/2025 00:00
CTR4231,BuildTech Ltd 13,REG2128,James Ouma,2.54751E+11,contractor12@buildtech.com,Mombasa,B,11,20,5,Yes,305627768,1.52,05/07/2024 00:00
CTR4942,BuildTech Ltd 14,REG6746,Peter Kariuki,2.54713E+11,contractor13@buildtech.com,Nairobi,A,18,17,2,No,694672775,4.1,25/09/2022 00:00
CTR8058,BuildTech Ltd 15,REG6985,James Ouma,2.54717E+11,contractor14@buildtech.com,Kisumu,B,12,14,0,Yes,700814517,3.01,15/09/2023 00:00
CTR2870,BuildTech Ltd 16,REG5394,James Ouma,2.54771E+11,contractor15@buildtech.com,Kisumu,A,30,8,2,Yes,449409054,1.02,02/09/2026 00:00
CTR6090,BuildTech Ltd 17,REG6321,Ann Wanjiku,2.54794E+11,contractor16@buildtech.com,Mombasa,A,28,11,2,Yes,486560306,3.17,27/06/2026 00:00
CTR4092,BuildTech Ltd 18,REG3055,Ann Wanjiku,2.54727E+11,contractor17@buildtech.com,Nairobi,A,14,1,2,No,110401670,1.63,26/01/2022 00:00
CTR3849,BuildTech Ltd 19,REG8565,Ann Wanjiku,2.54747E+11,contractor18@buildtech.com,Nairobi,A,24,2,5,No,35554174,2.72,08/03/2023 00:00
CTR8888,BuildTech Ltd 20,REG2343,James Ouma,2.54726E+11,contractor19@buildtech.com,Kisumu,A,21,4,5,Yes,122603266,3.43,24/08/2022 00:00
CTR8554,BuildTech Ltd 21,REG8795,Peter Kariuki,2.54732E+11,contractor20@buildtech.com,Nairobi,B,28,3,0,Yes,249598620,2.16,11/03/2023 00:00
CTR1018,BuildTech Ltd 22,REG7251,James Ouma,2.5473E+11,contractor21@buildtech.com,Kisumu,A,18,2,0,No,27349199,4.14,27/11/2026 00:00
CTR4983,BuildTech Ltd 23,REG4699,James Ouma,2.54761E+11,contractor22@buildtech.com,Kisumu,B,12,13,2,Yes,108789628,3.9,12/02/2024 00:00
CTR5583,BuildTech Ltd 24,REG9141,Ann Wanjiku,2.5476E+11,contractor23@buildtech.com,Nairobi,C,23,15,1,Yes,387816379,3.88,07/10/2022 00:00
CTR3917,BuildTech Ltd 25,REG2419,Peter Kariuki,2.54747E+11,contractor24@buildtech.com,Kisumu,B,12,10,0,Yes,424465282,2.64,27/10/2023 00:00
CTR3776,BuildTech Ltd 26,REG2420,Allan Otieno,2.52E+11,contractor24@buildtech.com,Kajiado,A,18,12,4,Yes,564465282,3.76,28/10/2023 00:00
CTR6889,BuildTech Ltd 27,REG2421,Allan Otieno,2.52E+11,contractor24@buildtech.com,Kajiado,B,16,19,2,No,4244282,4.09,29/10/2023 00:00
CTR4521,BuildTech Ltd 28,REG2422,Allan Otieno,2.52E+11,contractor24@buildtech.com,Kajiado,C,10,7,4,No,424465282,3.45,30/10/2023 00:00
CTR5418,BuildTech Ltd 29,REG2423,Allan Otieno,2.52E+11,contractor24@buildtech.com,Kajiado,A,25,5,1,No,724465282,3.56,31/10/2023 00:00
CTR2828,BuildTech Ltd 30,REG2424,Allan Otieno,2.52E+11,contractor24@buildtech.com,Kajiado,B,23,12,0,Yes,124265282,4.06,01/11/2023 00:00
