Employee_ID,First_Name,Last_Name,Department,Position,Hire_Date,Salary_KES,County_Assigned,Project_ID,Employment_Type,Gender,Age,Phone,Email,Supervisor_ID
EMP3904,Diana,Mwangi,Engineering,Engineer,2023-05-25 0:00:00,52106,Mombasa,PRJ1825,Permanent,Male,39,+254732232373,employee0@kenha.co.ke,EMP8584
EMP5158,Cynthia,Mwangi,Engineering,Clerk,2023-01-09 0:00:00,202090,Mombasa,PRJ7055,Permanent,Female,38,+254733264402,employee1@kenha.co.ke,EMP9944
EMP3358,Eric,Kiptoo,Engineering,Analyst,2023-12-05 0:00:00,247126,Kisumu,PRJ6011,Permanent,Male,29,+254772556567,employee2@kenha.co.ke,EMP4020
EMP7580,Eric,Kiptoo,Procurement,Analyst,2019-03-13 0:00:00,143986,Mombasa,PRJ6702,Contract,Male,26,+254752911750,employee3@kenha.co.ke,EMP3030
EMP4715,Eric,Mwangi,Procurement,Analyst,2016-03-12 0:00:00,152144,Mombasa,PRJ5261,Permanent,Female,52,+254711811335,employee4@kenha.co.ke,EMP5071
EMP6351,Diana,Ouma,Finance,Analyst,2021-06-13 0:00:00,119230,Nairobi,PRJ9958,Contract,Male,40,+254717945618,employee5@kenha.co.ke,EMP6560
EMP7978,Eric,Mwangi,Engineering,Supervisor,2021-07-07 0:00:00,113049,Kisumu,PRJ9308,Permanent,Male,52,+254778041237,employee6@kenha.co.ke,EMP1666
EMP7742,Cynthia,Ouma,Operations,Clerk,2018-05-12 0:00:00,208586,Nairobi,PRJ6878,Contract,Male,40,+254710800254,employee7@kenha.co.ke,EMP9374
EMP2843,Brian,Ouma,Operations,Analyst,2023-11-05 0:00:00,81747,Nairobi,PRJ1775,Permanent,Male,56,+254772490744,employee8@kenha.co.ke,EMP3517
EMP7714,Eric,Ouma,Finance,Analyst,2017-01-03 0:00:00,181728,Kisumu,PRJ5879,Permanent,Female,49,+254714342311,employee9@kenha.co.ke,EMP3714
EMP4992,Brian,Mwangi,Finance,Clerk,2015-05-11 0:00:00,161064,Mombasa,PRJ5895,Contract,Female,54,+254774768468,employee10@kenha.co.ke,EMP6204
EMP5382,Cynthia,Otieno,Procurement,Analyst,2015-09-19 0:00:00,176185,Kisumu,PRJ5965,Contract,Male,38,+254798383718,employee11@kenha.co.ke,EMP9210
EMP3683,Eric,Ouma,Procurement,Analyst,2022-07-18 0:00:00,180626,Mombasa,PRJ1482,Permanent,Male,25,+254724267621,employee12@kenha.co.ke,EMP4258
EMP5406,Brian,Mwangi,Finance,Supervisor,2018-11-14 0:00:00,88375,Mombasa,PRJ3871,Contract,Female,45,+254796817653,employee13@kenha.co.ke,EMP2964
EMP6048,Allan,Kiptoo,Finance,Clerk,2022-03-27 0:00:00,109195,Mombasa,PRJ9364,Permanent,Female,35,+254795814481,employee14@kenha.co.ke,EMP5489
EMP5438,Eric,Otieno,Finance,Clerk,2021-09-07 0:00:00,219802,Nairobi,PRJ1930,Permanent,Female,44,+254776365239,employee15@kenha.co.ke,EMP9321
EMP9526,Cynthia,Mwangi,Procurement,Clerk,2016-08-22 0:00:00,197120,Mombasa,PRJ7605,Permanent,Female,59,+254715288359,employee16@kenha.co.ke,EMP4417
EMP2397,Allan,Mwangi,Procurement,Supervisor,2024-07-10 0:00:00,230376,Mombasa,PRJ4473,Permanent,Male,57,+254748838547,employee17@kenha.co.ke,EMP1052
EMP5862,Diana,Kiptoo,Operations,Supervisor,2023-04-30 0:00:00,132159,Mombasa,PRJ5570,Permanent,Male,35,+254779053103,employee18@kenha.co.ke,EMP1684
EMP8189,Cynthia,Otieno,Operations,Engineer,2016-04-07 0:00:00,73918,Nairobi,PRJ8963,Permanent,Male,46,+254746316269,employee19@kenha.co.ke,EMP6007
EMP3200,Allan,Ouma,Operations,Engineer,2023-04-10 0:00:00,51101,Nairobi,PRJ8021,Permanent,Male,44,+254755850118,employee20@kenha.co.ke,EMP6578
EMP4255,Brian,Ouma,Procurement,Engineer,2019-03-22 0:00:00,57304,Nairobi,PRJ4148,Permanent,Male,41,+254740632116,employee21@kenha.co.ke,EMP4975
EMP1420,Brian,Mwangi,Finance,Engineer,2016-07-14 0:00:00,161195,Kisumu,PRJ3930,Contract,Female,58,+254790558498,employee22@kenha.co.ke,EMP8288
EMP9193,Brian,Otieno,Engineering,Supervisor,2016-07-18 0:00:00,197574,Nairobi,PRJ1708,Contract,Male,55,+254767508004,employee23@kenha.co.ke,EMP6688
EMP8621,Cynthia,Ouma,Finance,Analyst,2021-10-27 0:00:00,67793,Mombasa,PRJ2899,Contract,Male,53,+254746342726,employee24@kenha.co.ke,EMP3995
EMP6235,Diana,Otieno,Procurement,Analyst,2017-11-03 0:00:00,245321,Kisumu,PRJ5129,Permanent,Male,59,+254725452086,employee25@kenha.co.ke,EMP5034
EMP5778,Allan,Mwangi,Operations,Engineer,2016-08-25 0:00:00,192575,Nairobi,PRJ9346,Contract,Female,30,+254760717851,employee26@kenha.co.ke,EMP1295
EMP3164,Brian,Ouma,Engineering,Analyst,2022-03-07 0:00:00,248434,Mombasa,PRJ4935,Permanent,Male,51,+254771581545,employee27@kenha.co.ke,EMP6448
EMP4672,Cynthia,Ouma,Procurement,Clerk,2015-08-28 0:00:00,95106,Kisumu,PRJ9408,Contract,Male,52,+254724978335,employee28@kenha.co.ke,EMP4828
EMP8568,Brian,Otieno,Engineering,Clerk,2017-04-22 0:00:00,67299,Nairobi,PRJ6729,Contract,Female,25,+254722852731,employee29@kenha.co.ke,EMP8772
EMP8837,Diana,Otieno,Operations,Clerk,2017-03-26 0:00:00,83005,Mombasa,PRJ3101,Permanent,Female,29,+254793262035,employee30@kenha.co.ke,EMP7640
EMP5505,Eric,Otieno,Operations,Analyst,2022-07-09 0:00:00,149174,Kisumu,PRJ6297,Permanent,Female,50,+254726576334,employee31@kenha.co.ke,EMP9853
EMP9097,Brian,Otieno,Procurement,Engineer,2019-10-08 0:00:00,153412,Nairobi,PRJ1902,Contract,Female,33,+254797957871,employee32@kenha.co.ke,EMP4192
EMP3394,Cynthia,Kiptoo,Engineering,Engineer,2016-01-15 0:00:00,243329,Nairobi,PRJ8025,Permanent,Male,37,+254741646845,employee33@kenha.co.ke,EMP8518
EMP9981,Cynthia,Otieno,Finance,Engineer,2023-06-16 0:00:00,84646,Kisumu,PRJ8105,Permanent,Male,29,+254750181791,employee34@kenha.co.ke,EMP2683
EMP4634,Allan,Otieno,Procurement,Analyst,2022-03-26 0:00:00,50619,Nairobi,PRJ7035,Permanent,Male,47,+254769188568,employee35@kenha.co.ke,EMP5514
EMP3662,Cynthia,Otieno,Operations,Engineer,2018-12-21 0:00:00,96497,Mombasa,PRJ2276,Permanent,Female,49,+254758808979,employee36@kenha.co.ke,EMP2630
EMP4595,Allan,Otieno,Procurement,Clerk,2020-08-21 0:00:00,220360,Nairobi,PRJ1805,Contract,Male,25,+254725763671,employee37@kenha.co.ke,EMP1413
EMP5085,Cynthia,Mwangi,Procurement,Engineer,2015-09-09 0:00:00,159068,Nairobi,PRJ7693,Contract,Male,26,+254719936514,employee38@kenha.co.ke,EMP2889
EMP9280,Brian,Mwangi,Engineering,Supervisor,2017-08-04 0:00:00,142036,Mombasa,PRJ4916,Permanent,Female,41,+254735882469,employee39@kenha.co.ke,EMP1457
